"","Disposition Status","Percentage"
"1","Active/Pending","18.66%"
"2","Arrest","13.83%"
"3","Cbe","48.48%"
"4","Investigation Pending","15.92%"
"5","Juvenile Arrest","0.06%"
"6","Summons Issued","0.36%"
"7","Unfounded","1.37%"
"8","Warrant Issued","0.66%"
"9",NA,"0.66%"
