"","Month","Incident Count"
"1","Jan",95
"2","Feb",163
"3","Mar",161
"4","Apr",168
"5","May",163
"6","Jun",97
"7","Jul",79
"8","Aug",108
"9","Sep",217
"10","Oct",236
"11","Nov",179
"12",NA,11
